# galaxy_id         redshift_true         ra                   dec                   mag_u_obs            magerr_u_obs           mag_g_obs            magerr_g_obs            mag_r_obs            magerr_r_obs            mag_i_obs            magerr_i_obs            mag_z_obs            magerr_z_obs            mag_y_obs            magerr_y_obs            Mag_true_r_lsst_z0    Mag_true_i_lsst_z0   
  9.816177329E9     1.254659652709961     66.68967099205817    -40.71894961557671    25.050573348999023   0.17776450514793396    25.110509872436523   0.03965148702263832     25.033010482788086   0.03400513902306557     24.90839958190918    0.04374001920223236     24.435972213745117   0.05015230178833008     23.96974754333496    0.07495851814746857     -19.921777725219727   -19.9881534576416    
  1.0563681061E10   0.7779145240783691    65.79465348747063    -42.24835103599416    30.950851440429688   40.56195068359375      26.874401092529297   0.19859549403190613     25.793132781982422   0.0677366778254509      24.6275634765625     0.03396213799715042     24.268306732177734   0.04308152198791504     23.95991325378418    0.07428743690252304     -18.937236785888672   -19.13300323486328   
  6.0635244E9       0.7203147411346436    64.5852016615048     -35.04172447379746    25.253948211669922   0.21421916782855988    24.8399658203125     0.031125308945775032    23.96609878540039    0.013654269278049469    23.068012237548828   0.009542659856379032    22.814119338989258   0.012409651651978493    22.659290313720703   0.02305826172232628     -20.124263763427734   -20.317907333374023  
  1.1940612125E10   1.1186907291412354    66.92685373170835    -44.11976143174914    25.034482955932617   0.17516227066516876    25.450403213500977   0.053923383355140686    25.19192886352539    0.03922812640666962     24.912134170532227   0.04388817772269249     24.377227783203125   0.04754823073744774     24.26626968383789    0.09834364801645279     -19.57497215270996    -19.676197052001953  
  7.005915201E9     1.5713188648223877    63.0782247632793     -36.27059250102174    24.44999885559082    0.10261045396327972    24.764923095703125   0.02912086248397827     24.771265029907227   0.026938075199723244    24.658294677734375   0.034911010414361954    24.595670700073242   0.057993967086076736    24.41785430908203    0.11301279067993164     -20.636995315551758   -20.704334259033203  
  1.0500286051E10   0.45800936222076416   63.22365750807216    -41.72043693375848    23.887292861938477   0.06151502951979637    23.208240509033203   0.008642974309623241    22.04064178466797    0.0055055213160812855   21.596454620361328   0.005473566707223654    21.373720169067383   0.005912246182560921    21.249235153198242   0.008031374774873257    -20.30379295349121    -20.531906127929688  
  1.0502148068E10   1.003671407699585     63.5413383457732     -41.93916424270996    25.72772979736328    0.3309879004955292     25.069862365722656   0.03822845593094826     23.84722137451172    0.012454953975975513    22.88325309753418    0.008508623577654362    22.10712432861328    0.007822362706065178    21.740907669067383   0.010978160426020622    -22.118408203125      -22.391016006469727  
  9.817694985E9     1.4519240856170654    67.39379028724822    -39.90956634842406    24.118301391601562   0.07585263252258301    24.010452270507812   0.015298966318368912    24.004802703857422   0.014078176580369473    23.7308406829834     0.015632933005690575    23.527204513549805   0.02228873036801815     22.949726104736328   0.029774991795420647    -21.984352111816406   -22.15399932861328   
  1.0625183457E10   0.40128374099731445   69.44075340597823    -41.00825223123985    22.47730827331543    0.01792910136282444    21.863298416137695   0.0054737264290452      20.84618377685547    0.0050758724100887775   20.429553985595703   0.005074440035969019    20.17469596862793    0.005133824422955513    20.007383346557617   0.005434994585812092    -21.15900230407715    -21.476972579956055  
  8.876535878E9     0.8503018617630005    63.83140550563643    -39.51143444351257    26.682886123657227   0.7967234253883362     25.7674503326416     0.07197659462690353     25.455778121948242   0.049811847507953644    24.672826766967773   0.035369258373975754    24.505067825317383   0.053403012454509735    24.6336612701416     0.13777592778205872     -18.540653228759766   -18.56012725830078   
  8.950626854E9     2.037604570388794     65.76775207089979    -39.71102814473903    25.115917205810547   0.18874189257621765    24.899709701538086   0.03282622992992401     24.65814781188965    0.024387437850236893    24.562471389770508   0.03204067051410675     24.17377281188965    0.039556022733449936    23.903932571411133   0.0705810934305191      -23.015365600585938   -23.203105926513672  
