# galaxy_id redshift_true ra dec mag_u_obs magerr_u_obs mag_g_obs magerr_g_obs mag_r_obs magerr_r_obs mag_i_obs magerr_i_obs mag_z_obs magerr_z_obs mag_y_obs magerr_y_obs
8.950626854000000000e+09 2.037604570388793945e+00 6.576775207089978892e+01 -3.971102814473903209e+01 2.511591720581054688e+01 1.887418925762176514e-01 2.489970970153808594e+01 3.282622992992401123e-02 2.465814781188964844e+01 2.438743785023689270e-02 2.456247138977050781e+01 3.204067051410675049e-02 2.417377281188964844e+01 3.955602273344993591e-02 2.390393257141113281e+01 7.058109343051910400e-02
6.064467859000000000e+09 9.262485504150390625e-01 6.523702884255382628e+01 -3.336384968655327299e+01 2.478658294677734375e+01 1.395774334669113159e-01 2.488819694519042969e+01 3.249109908938407898e-02 2.501208496093750000e+01 3.337388113141059875e-02 2.473065376281738281e+01 3.725655376911163330e-02 2.471050453186035156e+01 6.439616531133651733e-02 2.477153587341308594e+01 1.563804745674133301e-01
1.125017784100000000e+10 3.963898420333862305e-01 6.538721093724049638e+01 -4.391339417422510394e+01 2.583348464965820312e+01 3.647724092006683350e-01 2.411123847961425781e+01 1.660878397524356842e-02 2.266897392272949219e+01 6.386576686054468155e-03 2.210065460205078125e+01 6.069294642657041550e-03 2.181281280517578125e+01 6.816567387431859970e-03 2.163855934143066406e+01 1.021864544600248337e-02
1.050036534600000000e+10 4.935004711151123047e-01 6.384049784831869800e+01 -4.143531633286035287e+01 2.665978050231933594e+01 7.799571752548217773e-01 2.456862258911132812e+01 2.450507506728172302e-02 2.312681007385253906e+01 7.782246451824903488e-03 2.230661773681640625e+01 6.480030249804258347e-03 2.194300842285156250e+01 7.213072851300239563e-03 2.175549125671386719e+01 1.109364908188581467e-02
1.125517537000000000e+10 1.436033010482788086e+00 6.476792499532346881e+01 -4.314274368502228896e+01 2.463385581970214844e+01 1.213771849870681763e-01 2.459567642211914062e+01 2.509104460477828979e-02 2.467231178283691406e+01 2.469188347458839417e-02 2.445653152465820312e+01 2.915509976446628571e-02 2.431965065002441406e+01 4.513075202703475952e-02 2.353013992309570312e+01 5.020551383495330811e-02
1.056367105800000000e+10 7.725578546524047852e-01 6.549067442372542303e+01 -4.241437304071802572e+01 2.413570785522460938e+01 7.706225663423538208e-02 2.405419540405273438e+01 1.585110463201999664e-02 2.371184349060058594e+01 1.126222033053636551e-02 2.305094337463378906e+01 9.437323547899723053e-03 2.290096855163574219e+01 1.326560974121093750e-02 2.279099655151367188e+01 2.587476558983325958e-02
1.062717098700000000e+10 9.772069454193115234e-01 6.844983753971975204e+01 -4.127997058728251289e+01 2.436998176574707031e+01 9.538630396127700806e-02 2.436048698425292969e+01 2.047345601022243500e-02 2.400782203674316406e+01 1.411189511418342590e-02 2.336722755432128906e+01 1.176424790173768997e-02 2.294626808166503906e+01 1.374409720301628113e-02 2.292211151123046875e+01 2.905362658202648163e-02
7.063680117000000000e+09 7.604260444641113281e-01 6.675716079239917633e+01 -3.621757060372266324e+01 2.596663093566894531e+01 4.122651815414428711e-01 2.561092948913574219e+01 6.240173801779747009e-02 2.488912200927734375e+01 2.990485914051532745e-02 2.399821090698242188e+01 1.954641006886959076e-02 2.391191482543945312e+01 3.127474337816238403e-02 2.381175231933593750e+01 6.488278508186340332e-02
1.125197680700000000e+10 9.273365736007690430e-01 6.492507861999020236e+01 -4.341542668394319548e+01 2.616096115112304688e+01 4.929227232933044434e-01 2.615710830688476562e+01 1.028032600879669189e-01 2.563395500183105469e+01 5.857938900589942932e-02 2.467969322204589844e+01 3.558815643191337585e-02 2.417622947692871094e+01 3.964374959468841553e-02 2.406694412231445312e+01 8.192981779575347900e-02
8.879035707000000000e+09 1.280289411544799805e+00 6.356843170811682597e+01 -3.916181797675260157e+01 2.404176712036132812e+01 7.075901329517364502e-02 2.416210365295410156e+01 1.732195913791656494e-02 2.420187568664550781e+01 1.651779934763908386e-02 2.419360733032226562e+01 2.313229441642761230e-02 2.379847717285156250e+01 2.827499434351921082e-02 2.366223526000976562e+01 5.661443620920181274e-02
